Unnamed: 0,MAGAID,MatchMAGAID
131,583f99cc38e2de35e5f5aed499d6c3e6807dff179a4f03c5fcf875091061dfb6,0bebb7a6afd74b005b5b0b9b44e0799e9ede9169e8b1b720927daa0cef9845aa
137,a3a2ddd09587a2a1af556639678d91a18a61fbde19a148bb2040aa24abe4958d,399217020ed3a7ecfeaca1f77736330d943f718f7225398b4b808ffed076cdbb
142,e5fac3f6ce542df22b8b717cc3e1c5652a5f26af33b3d5c1b5cdf8c57b5ad164,2383e225e641c3f17ccca144c7a694e74de9651c30f4659706bd9aad2e250ea7
143,8855a86f6d64f592bb3c7835217ec8c0a34a84579f9403b6f6d0a3b99f1c34e6,d0b7f5174a47a6e747374712e7a5a67ee85415418637c3501f35091103be9074
152,962392a5bc9aea0f5cd97e10656b3042306a1406bdf295cc590029d38283d706,1689cc9e2d588cd1d5afd9729b6d67191e8383a347bf9c9048fb4177d47fe530
154,d93d4d4e8a01de6d37af31dc6d80c28c5ea6796f4202569123a61a2444d14451,f74242092a9fc6aabb66b679a73c954a0ac08b7f9364a59cdc0e1fd6382d16a7
156,41d865d44699149e1460b41998d2b0b9fb718d4f94f2642f100912bbb2b3c186,f1631a39e4beb6de08e7cc51c4f0ad38298f0cb57e49399fc79264204f36d24d
162,c5974bcdc7260e8c10fa5bf53631520f803215f3275257769006c2420ba05597,f3305fa0b160357196683fd6bcfef787bee85bdb0145de151ba0781e2a2ed27f
171,482fa2695b98f56aa358bb31d9de04f1fdb582e8fc0386ce446b90db66297ab8,d2bfec88cf66a485375325a632c5de79bc49da1494485492406c42585126609a
172,655655ed297f8466f64cedb3a8dde3303c1b0ff06c9dffcb436089e730526fe4,3b0fc86ad48cbafc43dc83923f23dadafe3a3891df41817698cc348275eb7802
175,0b852ea396ff281a454d97033be7a5b97fd72c9d1a18f82e1de6afd707ac5371,d8b88af495d69b94b80d4ad6aa4c5e7f0c4a5c740f4a6079f6afa4dff838347e
178,777452d6e5a98369485bf3715184012c68efa95d7e7b8723fa27d6afb3547f0f,1f5e8a69fa93e8c05442b4944535d85e17f99ee20f6c69091fa2066d5e5f8c34
182,4e44e4f35b19812d082de692a56f048ca8725bd7de8fa050597e4e311e9db2ac,59671df9d88746d3590df68f564fe811a522e08e21e9cab128f2fc96ba57a9a2
185,60dc0d13e16668c7793ab34a50e6e4b26b8ca29f068c375c108bc0cf8a4a08ec,fb2a73a77c897a9497ae5fb753c6531d564200dc223ff9066a93f5489f88bb71
189,4f596c2dd679d37b53e2e3065b0006579f1fae6bcca49bb281512d6651758be9,dab5e66e609f82b16813ff845dc57c0ec8e8baefaa4387cca29f41c06c185f9e
192,f9cff2e92cfc7bf88705d077f5a40bc6f4beefa6579294e3281511bfb3a34d9c,00df9b49f10bf5435cca8084858ef9c42e7617ff58f7c554d1498d97203a834c
197,f5aa91eaa000a0c06b4d7c67eda035da61ccca6c35c9619e1120188ada6472e0,532684c149c698eedeb844426f8a3562de809d526f8f50d55eb5bdd7267e3450
198,0ebbe84580dba6c3196d77d989299b8cd01fab41566642f06246a141c1f2a80d,5b993e9470d68cac2b35ae98c11b6f82e7ba4df0e7f094ec2e3f6445b2a8a3a2
209,74976a49caa7b9fc8efeb407e00e537ee2e751b747ac25b1fa6ad629000b6a10,9d8c58d601ebbeef57cbb619c21d160860aafc41f0457ade4ef1bfda7e98ed70
213,4646ede7194c3247b1dd9140fbd5bd7889ef3e3df6da52a1856081c9b68f4d11,7e3f8220ac26cc8187955f73fb14c98736a6c2e76d6abdd7d94ac49d0517f7d8
226,58f8b2b51dac7944d80ce252e362613d01f02984f326aa56197088e056fee08f,d889fe9a341b373b7f268c755fca9c772f3d5a218f12e27e1c2f1aa0cad8e7f7
227,58f8b2b51dac7944d80ce252e362613d01f02984f326aa56197088e056fee08f,3a412bb65c5959d240cdd9496bbffb40b0ef64cb947a49a92bdc011baa17d889
