Record ID,MAGPID,MAGAID
3768,2050763953.0,2067311594.0
1132,2092136989.0,2067311594.0
1132,2092136989.0,2582430713.0
3770,2145525161.0,322663189.0
3770,2145525161.0,2067311594.0
3770,2145525161.0,2116089398.0
3770,2145525161.0,2181782262.0
3770,2145525161.0,2501486114.0
18603,1972741204.0,2498618550.0
21859,2018536716.0,660184851.0
21859,2018536716.0,691789848.0
21859,2018536716.0,1807071367.0
21859,2018536716.0,2136612062.0
21859,2018536716.0,2162698036.0
21859,2018536716.0,2279643060.0
21859,2018536716.0,2985540960.0
1379,2018927427.0,2131830782.0
1379,2018927427.0,2144454750.0
1379,2018927427.0,2627935146.0
886,2171213055.0,720303433.0
886,2171213055.0,2328398085.0
2567,2076415795.0,720303433.0
2567,2076415795.0,1838224178.0
2567,2076415795.0,1985333902.0
2567,2076415795.0,2165779293.0
2567,2076415795.0,2328398085.0
1658,1852931571.0,720303433.0
1658,1852931571.0,1985333902.0
1658,1852931571.0,2328398085.0
885,2001886442.0,720303433.0
885,2001886442.0,2328398085.0
4558,2143972741.0,720303433.0
4558,2143972741.0,1985333902.0
4558,2143972741.0,2328398085.0
17684,2319331341.0,2633257173.0
17684,2319331341.0,2675573124.0
2087,2002489933.0,1548620680.0
2087,2002489933.0,2075588290.0
2087,2002489933.0,2251368099.0
2087,2002489933.0,2303850973.0
2087,2002489933.0,2779528508.0
2087,2002489933.0,3176315635.0
757,1990769798.0,1898861175.0
757,1990769798.0,2051154732.0
757,1990769798.0,2293208182.0
757,1990769798.0,3109236141.0
1181,2337577155.0,720303433.0
1181,2337577155.0,1985333902.0
1181,2337577155.0,2328398085.0
4183,1886435725.0,2311862592.0
4183,1886435725.0,3072268724.0
4183,1886435725.0,3078470408.0
4183,1886435725.0,3079183827.0
1343,1971066120.0,720303433.0
1343,1971066120.0,1985660835.0
1343,1971066120.0,2702273474.0
1343,1971066120.0,2919790965.0
1343,1971066120.0,3011225994.0
1344,2168491680.0,720303433.0
1344,2168491680.0,2286903992.0
19405,1984646207.0,720303433.0
