Record ID,AuthorName,nRetracted,FirstRetractionYear,OffenseSameYear
16947,f4b7f7c3db60817b662293e960d99eacc17682fb91987391d45cb2679e166e40,2,2017,True
18340,f4b7f7c3db60817b662293e960d99eacc17682fb91987391d45cb2679e166e40,2,2017,True
4256,b653eebc88aa268e645338e4df8999c02065ce0e31ae05c3922fbfbae9707db9,2,2016,True
386,b653eebc88aa268e645338e4df8999c02065ce0e31ae05c3922fbfbae9707db9,2,2016,True
2423,b70e6cef22c6c74806d858ca8974aac06c107d80035fcdba8b82a88aaefb01e8,2,2012,True
4703,b70e6cef22c6c74806d858ca8974aac06c107d80035fcdba8b82a88aaefb01e8,2,2012,True
23359,733cb1917d218b90bf96880cf7030ae10f398427c8b39f387d84770c978125ee,4,2020,True
23358,733cb1917d218b90bf96880cf7030ae10f398427c8b39f387d84770c978125ee,4,2020,True
23357,733cb1917d218b90bf96880cf7030ae10f398427c8b39f387d84770c978125ee,4,2020,True
23356,733cb1917d218b90bf96880cf7030ae10f398427c8b39f387d84770c978125ee,4,2020,True
23359,430acbe646980827d029e470605e80c9bdb49b8c7cc3104e08dfaf48b984181b,4,2020,True
23358,430acbe646980827d029e470605e80c9bdb49b8c7cc3104e08dfaf48b984181b,4,2020,True
23357,430acbe646980827d029e470605e80c9bdb49b8c7cc3104e08dfaf48b984181b,4,2020,True
23356,430acbe646980827d029e470605e80c9bdb49b8c7cc3104e08dfaf48b984181b,4,2020,True
20293,1e2099dc9c388ab5f32cffe0ec0bc9ef47e5d4afb5184a3cde84c52e115535ed,2,2019,True
20294,1e2099dc9c388ab5f32cffe0ec0bc9ef47e5d4afb5184a3cde84c52e115535ed,2,2019,True
5476,a0a6a18887877adcd918e8cb3e5443e93f63a252ab94ec13f58b4bc8576c30c3,5,2011,True
5477,a0a6a18887877adcd918e8cb3e5443e93f63a252ab94ec13f58b4bc8576c30c3,5,2011,True
16727,a0a6a18887877adcd918e8cb3e5443e93f63a252ab94ec13f58b4bc8576c30c3,5,2011,True
16728,a0a6a18887877adcd918e8cb3e5443e93f63a252ab94ec13f58b4bc8576c30c3,5,2011,True
16584,a0a6a18887877adcd918e8cb3e5443e93f63a252ab94ec13f58b4bc8576c30c3,5,2011,True
23723,53a6c0a5e25b9db4432653f93e1759ca27860cd2c0af58bed9bca57907cf4162,2,2020,True
25492,53a6c0a5e25b9db4432653f93e1759ca27860cd2c0af58bed9bca57907cf4162,2,2020,True
2353,6d77fb9a85a9036b6090df40155c0f1a159ac09133125f9d8c53d05b561a90ce,3,2012,True
2351,6d77fb9a85a9036b6090df40155c0f1a159ac09133125f9d8c53d05b561a90ce,3,2012,True
2352,6d77fb9a85a9036b6090df40155c0f1a159ac09133125f9d8c53d05b561a90ce,3,2012,True
5936,56014198fd928dd9dba4a3efe5d7085cea8fe12af650176d3e2f415d2d623411,3,2017,True
5938,56014198fd928dd9dba4a3efe5d7085cea8fe12af650176d3e2f415d2d623411,3,2017,True
9466,56014198fd928dd9dba4a3efe5d7085cea8fe12af650176d3e2f415d2d623411,3,2017,True
5181,d9f130d9dedd444a043acecf8a0414cd1db8f86dfae45632363f8a299f88c94c,2,2017,True
13353,d9f130d9dedd444a043acecf8a0414cd1db8f86dfae45632363f8a299f88c94c,2,2017,True
9724,f20aee14fcae863ee206f1efd541da9c9547ff5485b717c3b703c8f56474e96f,2,2017,True
5435,f20aee14fcae863ee206f1efd541da9c9547ff5485b717c3b703c8f56474e96f,2,2017,True
20209,671fa0de56c5b7d694e06c83211c6d327198eb88ca3122ee78a9196edf863eef,3,2019,True
20210,671fa0de56c5b7d694e06c83211c6d327198eb88ca3122ee78a9196edf863eef,3,2019,True
20208,671fa0de56c5b7d694e06c83211c6d327198eb88ca3122ee78a9196edf863eef,3,2019,True
20248,4636b2128609997a28208e005a1b4dcc2cf960f3efd0b9088f8d014cd5360fa6,2,2018,True
20183,4636b2128609997a28208e005a1b4dcc2cf960f3efd0b9088f8d014cd5360fa6,2,2018,True
4934,743653f1dfb0840244d04ca8069e7df981e916d03f4a137eb4b852c4d012bf62,2,2012,True
4936,743653f1dfb0840244d04ca8069e7df981e916d03f4a137eb4b852c4d012bf62,2,2012,True
2271,e6cf7f173592ce193ebbc3cec69e5a5e9d90623212ed87ee3ee44bd3d9f094fb,4,2009,True
2269,e6cf7f173592ce193ebbc3cec69e5a5e9d90623212ed87ee3ee44bd3d9f094fb,4,2009,True
2270,e6cf7f173592ce193ebbc3cec69e5a5e9d90623212ed87ee3ee44bd3d9f094fb,4,2009,True
2890,e6cf7f173592ce193ebbc3cec69e5a5e9d90623212ed87ee3ee44bd3d9f094fb,4,2009,True
3953,46779736cc27f6a6143e7b28ec478e70d1ef8bb8e43e7a2195369e102dfa5d46,3,2013,True
3814,46779736cc27f6a6143e7b28ec478e70d1ef8bb8e43e7a2195369e102dfa5d46,3,2013,True
5830,46779736cc27f6a6143e7b28ec478e70d1ef8bb8e43e7a2195369e102dfa5d46,3,2013,True
16996,6dca2aee8cf511ae20c317355304238cabb08d0a58e34c3a4b8b872603ad4dd0,2,2018,True
16997,6dca2aee8cf511ae20c317355304238cabb08d0a58e34c3a4b8b872603ad4dd0,2,2018,True
3153,4724a1f350848500d020a0a66b47a539cd32e2b2b32c714ab900a1aa0db4fb20,2,2013,True
97,4724a1f350848500d020a0a66b47a539cd32e2b2b32c714ab900a1aa0db4fb20,2,2013,True
27526,61415f903e9d60d3f29c6b7303ee9443fe162aed29ed4b56cd6a6f655315c9c2,3,2017,True
27528,61415f903e9d60d3f29c6b7303ee9443fe162aed29ed4b56cd6a6f655315c9c2,3,2017,True
27527,61415f903e9d60d3f29c6b7303ee9443fe162aed29ed4b56cd6a6f655315c9c2,3,2017,True
4607,8f5ecce111301cf52957b6d405e7036083e7f450ca7d54cdf28889250152fa3c,3,2012,True
3584,8f5ecce111301cf52957b6d405e7036083e7f450ca7d54cdf28889250152fa3c,3,2012,True
3583,8f5ecce111301cf52957b6d405e7036083e7f450ca7d54cdf28889250152fa3c,3,2012,True
21705,f36d75c9a881473ce7f9a0dcd2764e43b044f30073a80fba032be04082497a63,2,2016,True
5695,f36d75c9a881473ce7f9a0dcd2764e43b044f30073a80fba032be04082497a63,2,2016,True
19956,ef4b5b5ea2b921f55ae14565627d3af38ba4b3505ee348fb5280cb4a96b07103,2,2019,True
20134,ef4b5b5ea2b921f55ae14565627d3af38ba4b3505ee348fb5280cb4a96b07103,2,2019,True
16751,2b84bd935f056c1abcf4b56db18299c86e4fdc87ad07ceb795d075b5156a48e0,2,2011,True
18639,2b84bd935f056c1abcf4b56db18299c86e4fdc87ad07ceb795d075b5156a48e0,2,2011,True
4492,d583aba496a644d780d0309b4aecd46c2ddaf1d5f77069e496ba33987455718a,2,2004,True
2745,d583aba496a644d780d0309b4aecd46c2ddaf1d5f77069e496ba33987455718a,2,2004,True
17671,227d1b144f98dfee3e6ea2994637fd65562f73146672f1edb1117b6a87ba505b,2,2018,True
19699,227d1b144f98dfee3e6ea2994637fd65562f73146672f1edb1117b6a87ba505b,2,2018,True
16592,274f29f384c329a96da80a5d848de2f7764f56e58e350b6243146282a582674b,2,2017,True
20599,274f29f384c329a96da80a5d848de2f7764f56e58e350b6243146282a582674b,2,2017,True
3371,d831223a055236b30972f38d4eb266a04fa01529cadc650a59ad30d695b22efe,2,2014,True
16622,d831223a055236b30972f38d4eb266a04fa01529cadc650a59ad30d695b22efe,2,2014,True
21681,19a38f2d51b84c0dd4dbfeec2258287bf0250480e0c7424cdcf8429a6c5b2c66,3,2019,True
23545,19a38f2d51b84c0dd4dbfeec2258287bf0250480e0c7424cdcf8429a6c5b2c66,3,2019,True
23535,19a38f2d51b84c0dd4dbfeec2258287bf0250480e0c7424cdcf8429a6c5b2c66,3,2019,True
398,8c168bbbc63c74f70c74e5eed11223e3b548369ad8a3161d3c8932d5ece5bebe,2,2016,True
857,8c168bbbc63c74f70c74e5eed11223e3b548369ad8a3161d3c8932d5ece5bebe,2,2016,True
27208,1d0c674d951c3a0645580ed4d733448534a96725ba173eff259fbc0652fb91e2,2,2019,True
28457,1d0c674d951c3a0645580ed4d733448534a96725ba173eff259fbc0652fb91e2,2,2019,True
6408,37e2bae9f0c2d3bb08475674ec549c81a8019bffccb06dd361c17de592a3e7fe,3,2017,True
18336,37e2bae9f0c2d3bb08475674ec549c81a8019bffccb06dd361c17de592a3e7fe,3,2017,True
18497,37e2bae9f0c2d3bb08475674ec549c81a8019bffccb06dd361c17de592a3e7fe,3,2017,True
19211,d451c5407a3714848ca1edc172f3f6bd8908a2e1630055e48209b3dd5b243320,2,2018,True
20096,d451c5407a3714848ca1edc172f3f6bd8908a2e1630055e48209b3dd5b243320,2,2018,True
16862,b45ba62871c5cb856f6ff91a32d984f4bc9ef9e336c3593967e460dadab8dc26,2,2012,True
589,b45ba62871c5cb856f6ff91a32d984f4bc9ef9e336c3593967e460dadab8dc26,2,2012,True
22189,c0f4d766d5054cefc840d089fd5f7badcc102e3a2de43dd63d817533b4a88a22,7,2019,True
22191,c0f4d766d5054cefc840d089fd5f7badcc102e3a2de43dd63d817533b4a88a22,7,2019,True
22188,c0f4d766d5054cefc840d089fd5f7badcc102e3a2de43dd63d817533b4a88a22,7,2019,True
21838,c0f4d766d5054cefc840d089fd5f7badcc102e3a2de43dd63d817533b4a88a22,7,2019,True
22187,c0f4d766d5054cefc840d089fd5f7badcc102e3a2de43dd63d817533b4a88a22,7,2019,True
22820,c0f4d766d5054cefc840d089fd5f7badcc102e3a2de43dd63d817533b4a88a22,7,2019,True
23435,c0f4d766d5054cefc840d089fd5f7badcc102e3a2de43dd63d817533b4a88a22,7,2019,True
24341,ad6e166269ab3ffdcf1261ddeb890384ebc58c1632ab0eec6f23b2242e7399e7,4,2020,True
24189,ad6e166269ab3ffdcf1261ddeb890384ebc58c1632ab0eec6f23b2242e7399e7,4,2020,True
24343,ad6e166269ab3ffdcf1261ddeb890384ebc58c1632ab0eec6f23b2242e7399e7,4,2020,True
24342,ad6e166269ab3ffdcf1261ddeb890384ebc58c1632ab0eec6f23b2242e7399e7,4,2020,True
12862,ffe3d0c5bea7b6bdfc7e58aaf79e83f6e8437f64c4cdc7001e076d6542c3279a,2,2017,True
13817,ffe3d0c5bea7b6bdfc7e58aaf79e83f6e8437f64c4cdc7001e076d6542c3279a,2,2017,True
2629,7288d59b0e40f9908140577c1d39a35ecde9ce6d0ccf1f571d39067e4fd78b89,2,2012,True
1694,7288d59b0e40f9908140577c1d39a35ecde9ce6d0ccf1f571d39067e4fd78b89,2,2012,True
17478,1f0e110c988bacec57200772e9df9c694f9a042b6c1ce814422c54e80a9738a6,2,2014,True
